Wall time,Step,Value
1701436442.115924,42,3088974.25
1701436446.30564,45,3095155.5
1701436482.956613,71,3104453.5
1701436515.333063,94,3101957.5
1701436606.592825,158,3093285.25
1701436619.98454,167,3094719.5
1701436710.569183,229,3091122.25
1701436717.853915,234,3091379.0
1701436748.872841,255,3089919.25
1701436775.055929,273,3089900.75
1701436826.328841,308,3087220.5
1701436829.277418,310,3086872.25
1701436840.963292,318,3087810.25
1701436990.935912,421,3078696.25
1701437048.053746,460,3077654.25
1701437068.413353,474,3077093.25
1701437161.547726,536,3075758.75
1701437200.734334,563,3075095.5
1701437224.040906,579,3072497.75
1701437234.183911,586,3072750.0
1701437304.613712,634,3072405.25
1701437323.544415,647,3072989.75
1701437344.122497,661,3072169.5
1701437358.726662,671,3072095.5
1701437421.462469,714,3071628.25
1701437433.134312,722,3071875.75
1701437505.271857,771,3069948.0
1701437525.712041,785,3069976.5
1701437528.62037,787,3069945.5
1701437550.543424,802,3070137.0
1701437559.318462,808,3070304.0
1701437600.781058,836,3069535.5
1701437760.544796,945,3065996.5
1701437798.544033,971,3064876.75
1701437800.041624,972,3064869.0
1701437850.830019,1005,3063601.25
1701437863.986758,1014,3062824.25
1701437935.662977,1063,3061768.75
1701437939.999659,1066,3061549.75
1701437979.508326,1093,3060580.5
1701437995.61164,1104,3060425.5
1701438107.363381,1180,3060697.0
1701438225.894871,1261,3060157.75
1701438306.649654,1316,3060183.0
1701438311.039285,1319,3060426.0
1701438331.760327,1333,3060351.75
1701438337.637883,1337,3060315.75
1701438407.877123,1385,3058920.25
1701438418.095657,1392,3058807.25
1701438450.244119,1414,3058203.5
1701438467.719217,1426,3058222.25
1701438482.321956,1436,3058090.25
1701438526.253428,1466,3057535.25
1701438562.811497,1491,3057148.25
1701438612.603535,1523,3057313.25
1701438655.001712,1552,3056219.25
1701438678.389206,1568,3056155.0
1701438701.84976,1584,3055633.75
1701438732.767393,1605,3054980.0
1701438783.936123,1640,3054333.0
1701438858.376943,1691,3053861.75
1701438884.593953,1709,3053902.75
1701438897.711345,1718,3054181.0
1701438918.309853,1732,3053828.0
1701438921.232764,1734,3053798.75
1701438925.579484,1737,3053692.25
1701438989.693946,1781,3052657.0
1701439081.365361,1844,3051693.5
1701439094.45866,1853,3051543.5
1701439113.35223,1866,3051330.5
1701439117.702731,1869,3051275.25
1701439129.478124,1877,3051147.75
1701439187.858351,1917,3050909.5
1701439212.702975,1934,3050484.0
1701439231.731722,1947,3050269.25
1701439313.507961,2001,3050299.0
1701439364.77706,2036,3049479.0
1701439424.529521,2077,3049395.5
1701439452.317277,2096,3049359.25
1701439585.345902,2187,3047001.5
1701439602.94988,2199,3046579.0
1701439620.478266,2211,3046334.25
1701439649.814482,2231,3045784.25
1701439657.07189,2236,3045567.75
1701439658.535716,2237,3045528.0
1701439687.67953,2257,3045387.0
1701439695.009764,2262,3045393.5
1701439761.08561,2307,3044614.0
1701439778.675571,2319,3044786.0
1701439829.818838,2354,3043963.5
1701439880.998088,2389,3043579.0
1701439882.461178,2390,3043565.5
1701439885.402452,2392,3043552.0
1701439949.842692,2436,3042886.25
1701439974.739614,2453,3042536.75
1701439977.667272,2455,3042450.5
1701439984.976931,2460,3042262.5
1701440022.076732,2485,3041757.5
1701440023.541291,2486,3041758.25
1701440038.498355,2496,3041729.25
1701440041.457663,2498,3041732.25
1701440051.861916,2503,3041839.5
1701440094.751416,2532,3040570.0
1701440116.724002,2547,3040698.0
1701440125.601059,2553,3040576.5
1701440319.366515,2685,3038462.0
1701440400.071617,2740,3037510.0
1701440420.570756,2754,3037144.25
1701440471.963039,2789,3036150.0
1701440628.01109,2896,3033890.25
1701440731.834919,2967,3032308.25
1701440799.127102,3011,3031545.5
1701440838.689829,3038,3030844.5
1701440843.066838,3041,3030772.75
1701440927.502662,3099,3029306.5
1701441018.232454,3161,3027609.5
1701441069.473281,3196,3026998.75
1701441119.365668,3230,3025913.25
1701441139.780623,3244,3025776.0
1701441142.672708,3246,3025645.25
1701441144.122048,3247,3025668.5
1701441229.053108,3305,3024296.75
1701441333.052325,3376,3022637.0
1701441380.263348,3408,3021967.5
1701441440.149205,3449,3020794.25
1701441485.526703,3480,3019982.5
1701441667.073307,3600,3016965.5
1701441693.441921,3618,3016612.25
1701441696.38023,3620,3016496.5
1701441770.910657,3670,3015425.25
1701441852.661054,3726,3013841.25
1701441874.579671,3741,3013348.5
1701441950.503539,3793,3012074.5
1701441981.299209,3814,3011473.5
1701441991.580073,3821,3011322.25
1701442054.134432,3864,3010233.75
1701442147.977575,3928,3008188.25
1701442188.914138,3956,3007206.5
1701442230.028235,3984,3006304.75
1701442308.860231,4036,3004783.5
1701442399.529948,4098,3003010.0
1701442415.598568,4109,3002606.5
1701442522.421949,4182,3000240.0
1701442542.872252,4196,2999883.0
1701442551.746928,4202,2999766.5
1701442588.259487,4227,2998830.5
1701442595.596179,4232,2998725.25
1701442641.44609,4263,2997644.0
1701442702.187116,4304,2996279.0
1701442721.282339,4317,2995821.75
1701442724.217889,4319,2995767.0
1701442843.450956,4400,2992817.0
1701442978.288975,4492,2989401.0
1701443006.291788,4509,2988801.5
1701443037.076993,4530,2987990.75
1701443180.946997,4628,2983757.75
1701443233.97521,4664,2982099.0
1701443239.919433,4668,2981971.5
1701443251.57433,4676,2981633.5
1701443360.200911,4750,2978592.25
1701443416.157303,4788,2976889.0
1701443437.805044,4802,2976261.75
1701443493.504601,4840,2974678.0
1701443511.05612,4852,2974132.0
1701443572.462633,4894,2972338.25
1701443671.559585,4962,2969271.25
1701443684.747119,4971,2968825.25
1701443689.166724,4974,2968638.25
1701443802.944542,5050,2965041.25
1701443805.842723,5052,2964968.25
1701443884.524376,5106,2962343.0
1701443925.519447,5134,2960924.5
1701444022.384645,5200,2957410.25
1701444079.450415,5239,2955345.5
1701444211.071549,5329,2950212.5
1701444234.459752,5345,2949331.75
1701444254.859863,5359,2948508.75
1701444343.673419,5420,2944899.0
1701444375.814795,5442,2943579.75
1701444485.742462,5515,2939234.0
1701444488.651685,5517,2939137.75
1701444537.833312,5549,2937353.75
1701444593.711542,5587,2934861.75
1701444706.522212,5664,2929538.25
1701444728.446919,5679,2928557.0
1701444792.637908,5723,2925569.0
1701444917.070608,5808,2919928.5
1701444941.798724,5825,2918760.25
1701444946.122175,5828,2918587.75
1701444996.097362,5862,2916393.25
1701444999.118724,5864,2916257.0
1701445009.461737,5871,2915800.0
1701445062.344729,5907,2913313.0
1701445092.993949,5928,2911751.0
1701445127.893909,5952,2909988.25
1701445143.901207,5963,2909181.5
1701445183.334387,5990,2907294.0
1701445215.692558,6010,2905825.5
1701445377.491831,6121,2897340.25
1701445392.038071,6131,2896546.0
1701445464.92705,6181,2892753.25
1701445492.854836,6200,2891126.75
1701445511.786511,6213,2890122.75
1701445520.587048,6219,2889631.25
1701445539.641363,6232,2888582.0
1701445622.869141,6289,2884272.0
1701445656.570486,6312,2882368.0
1701445663.849471,6317,2881976.75
1701445698.981632,6341,2879965.25
1701445731.040679,6363,2878230.75
1701445749.97202,6376,2877078.75
1701445784.940376,6400,2874996.75
1701445924.99895,6496,2866780.75
1701445963.219852,6520,2864734.5
1701446042.246795,6574,2860071.5
1701446056.968943,6584,2859190.5
1701446084.845389,6603,2857456.5
