Wall time,Step,Value
1701436442.116889,42,3137556.0
1701436446.306554,45,3316841.25
1701436482.957545,71,3220170.75
1701436515.334596,94,3004942.0
1701436606.593736,158,3208308.5
1701436619.985531,167,3036848.0
1701436710.570106,229,3005556.0
1701436717.854964,234,3146721.0
1701436748.873821,255,3191458.5
1701436775.057214,273,3240439.0
1701436826.329812,308,3173945.25
1701436829.278328,310,3032678.25
1701436840.964289,318,3226824.25
1701436990.936902,421,2946507.25
1701437048.054637,460,3148851.5
1701437068.414279,474,3155559.5
1701437161.548827,536,3189058.0
1701437200.735479,563,3146006.25
1701437224.041855,579,3015624.5
1701437234.184869,586,3080318.75
1701437304.614609,634,3072271.75
1701437323.5452,647,2964206.0
1701437344.123425,661,2841065.0
1701437358.727601,671,3138909.25
1701437421.463403,714,3139962.0
1701437433.135248,722,3023532.0
1701437505.272812,771,3179314.0
1701437525.712947,785,3190840.5
1701437528.621348,787,2934619.25
1701437550.544436,802,2955803.5
1701437559.319428,808,2900912.75
1701437600.781981,836,3134491.75
1701437760.545689,945,3055860.75
1701437798.544983,971,2872122.25
1701437800.042511,972,3057348.5
1701437850.83096,1005,2834949.0
1701437863.987751,1014,2968177.0
1701437935.663959,1063,3046123.0
1701437940.000556,1066,2892518.25
1701437979.509295,1093,3140231.0
1701437995.612615,1104,3272098.25
1701438107.36429,1180,2987642.0
1701438225.895762,1261,2888795.25
1701438306.650562,1316,3061472.5
1701438311.040284,1319,3199752.5
1701438331.761255,1333,3174245.75
1701438337.638825,1337,3161262.75
1701438407.878041,1385,2975166.0
1701438418.096589,1392,3159091.0
1701438450.245143,1414,3193511.0
1701438467.72008,1426,3115636.25
1701438482.323033,1436,3191441.5
1701438526.25443,1466,3068488.0
1701438562.812421,1491,2889086.75
1701438612.604444,1523,2912295.75
1701438655.002621,1552,3131732.5
1701438678.390159,1568,2877746.0
1701438701.850698,1584,2957409.75
1701438732.768521,1605,3122973.0
1701438783.937121,1640,3059496.0
1701438858.377905,1691,3074234.0
1701438884.594908,1709,3081079.25
1701438897.712358,1718,3099240.75
1701438918.310759,1732,2875463.0
1701438921.233834,1734,2979692.0
1701438925.580448,1737,3118295.5
1701438989.694933,1781,2900675.5
