Wall time,Step,Value
1701643704.154137,42,3066344.0
1701643708.591709,45,3070851.5
1701643747.594014,71,3079944.5
1701643782.280992,94,3081316.0
1701643879.987,158,3073829.25
1701643893.346919,167,3075066.75
1701643988.02976,229,3073385.5
1701643995.456405,234,3073602.75
1701644026.542057,255,3075897.5
1701644053.152851,273,3073554.5
1701644108.974168,308,3072290.25
1701644111.939226,310,3072903.25
1701644123.964602,318,3072983.75
1701644280.049855,421,3071952.75
1701644338.032487,460,3069296.75
1701644358.760232,474,3070259.5
1701644453.602722,536,3071513.5
1701644493.583053,563,3072201.5
1701644517.363998,579,3072185.0
1701644527.767154,586,3071832.75
1701644602.225955,634,3072560.5
1701644621.580656,647,3071527.0
1701644642.395194,661,3070713.5
1701644657.230253,671,3070196.75
1701644723.516393,714,3070518.0
1701644735.440118,722,3070445.5
1701644808.361546,771,3068252.25
1701644829.102728,785,3067589.75
1701644832.057483,787,3067298.75
1701644856.921842,802,3066953.75
1701644865.781857,808,3067313.25
1701644907.366017,836,3066091.5
1701645071.969416,945,3065764.0
1701645110.56589,971,3065455.5
1701645112.042573,972,3065345.75
1701645163.731191,1005,3064721.75
1701645177.138199,1014,3064810.5
1701645250.080518,1063,3064425.75
1701645254.54478,1066,3064215.5
1701645294.831431,1093,3063897.5
1701645313.997764,1104,3063719.0
1701645426.716439,1180,3061469.0
1701645549.981502,1261,3059077.0
1701645634.239321,1316,3058563.5
1701645638.702791,1319,3058444.25
1701645659.623817,1333,3058067.5
1701645665.581036,1337,3058177.75
1701645736.842995,1385,3056558.0
1701645747.182162,1392,3056366.0
1701645782.34062,1414,3055602.0
1701645800.218693,1426,3055062.0
1701645815.097533,1436,3054851.5
1701645859.458201,1466,3054497.0
1701645896.519949,1491,3054450.5
1701645947.08481,1523,3054148.75
1701645990.208559,1552,3053582.5
1701646014.113457,1568,3053445.75
1701646037.913517,1584,3053812.25
1701646071.704263,1605,3053382.25
1701646123.761553,1640,3052724.0
1701646199.42853,1691,3052679.75
1701646228.808368,1709,3052548.5
1701646242.142336,1718,3052667.5
1701646262.944361,1732,3052443.5
1701646265.89298,1734,3052391.5
1701646270.349983,1737,3052410.5
1701646335.544859,1781,3052445.0
1701646432.133777,1844,3052111.75
1701646445.523262,1853,3052066.25
1701646464.81721,1866,3051409.5
1701646469.279436,1869,3051292.25
1701646481.133536,1877,3051215.25
1701646543.477004,1917,3051211.5
1701646568.842841,1934,3050973.75
1701646588.143131,1947,3050575.5
1701646670.874535,2001,3050561.0
1701646723.215543,2036,3050603.0
1701646783.957615,2077,3050225.25
1701646812.173436,2096,3050138.5
1701646950.604957,2187,3049438.0
1701646968.473687,2199,3049349.0
1701646988.853243,2211,3049145.0
1701647018.615058,2231,3049060.25
1701647026.111817,2236,3048934.0
1701647027.632794,2237,3048943.25
1701647057.344146,2257,3048508.0
1701647064.760876,2262,3048386.5
1701647134.38788,2307,3047863.25
1701647152.148904,2319,3047875.5
1701647204.153243,2354,3047660.0
1701647256.118539,2389,3047824.5
1701647257.605684,2390,3047783.75
1701647260.536666,2392,3047718.75
1701647328.530882,2436,3046977.5
1701647353.707163,2453,3046780.5
1701647356.681965,2455,3046735.0
1701647364.121471,2460,3046734.75
1701647401.128674,2485,3046680.75
1701647402.619661,2486,3046674.75
1701647417.453477,2496,3046661.0
1701647420.402435,2498,3046602.75
1701647430.380133,2503,3046371.75
1701647473.478689,2532,3045804.0
1701647495.764841,2547,3045879.25
1701647504.73122,2553,3045840.0
1701647703.823229,2685,3043858.75
1701647788.329194,2740,3043293.5
1701647809.090441,2754,3043036.5
1701647860.954718,2789,3042336.0
1701648022.573151,2896,3040280.5
1701648131.181103,2967,3039458.25
