Wall time,Step,Value
1701643704.155114,42,2831320.5
1701643708.593231,45,3094921.5
1701643747.59504,71,3212497.25
1701643782.282065,94,3088826.5
1701643879.987961,158,3062178.75
1701643893.347848,167,3218755.75
1701643988.030722,229,2875681.0
1701643995.457342,234,3162884.5
1701644026.542993,255,2887116.5
1701644053.153798,273,3042452.75
1701644108.975131,308,3092997.25
1701644111.940157,310,3107965.75
1701644123.965594,318,3101298.25
1701644280.050733,421,3023645.25
1701644338.033436,460,3154097.75
1701644358.761397,474,3060669.5
1701644453.603651,536,3161637.5
1701644493.584027,563,2768184.5
1701644517.36494,579,2841772.75
1701644527.768101,586,3007597.5
1701644602.2269,634,3024249.5
1701644621.581626,647,3001643.5
1701644642.396127,661,2961698.25
1701644657.23118,671,3107683.0
1701644723.517314,714,3215404.5
1701644735.441047,722,3072685.0
1701644808.362548,771,3112102.5
1701644829.103789,785,2786001.5
1701644832.058386,787,3020419.75
1701644856.922716,802,3077084.25
1701644865.782848,808,3053283.0
1701644907.367015,836,3100657.75
1701645071.970351,945,3016568.5
1701645110.566794,971,2882312.5
1701645112.043521,972,2958734.25
1701645163.732102,1005,3079467.25
1701645177.139107,1014,3099696.25
1701645250.081408,1063,3353343.25
1701645254.545782,1066,3003375.75
1701645294.83249,1093,3002223.5
1701645313.998669,1104,3008864.5
1701645426.717377,1180,3074631.75
1701645549.982541,1261,3037903.5
1701645634.240244,1316,2956502.5
1701645638.703723,1319,2947110.0
1701645659.624763,1333,3170761.0
1701645665.582038,1337,3106944.75
1701645736.843961,1385,2776215.0
1701645747.183054,1392,3054343.25
1701645782.34154,1414,2809267.25
1701645800.219595,1426,2993124.25
1701645815.098523,1436,3142830.5
1701645859.459128,1466,3026043.0
1701645896.521339,1491,2961459.25
1701645947.085808,1523,3023425.5
1701645990.20948,1552,3064078.0
1701646014.114479,1568,2835324.0
1701646037.914525,1584,3128172.75
1701646071.705194,1605,3014469.0
1701646123.762483,1640,2803906.0
1701646199.429462,1691,3101570.25
1701646228.809277,1709,2907534.0
1701646242.143262,1718,3162420.5
1701646262.945314,1732,3008397.25
1701646265.893903,1734,2964190.5
1701646270.350904,1737,3037734.0
1701646335.545835,1781,3077150.0
1701646432.134712,1844,2878763.5
1701646445.524174,1853,3174269.75
1701646464.818356,1866,2871833.5
