Wall time,Step,Value
1701893649.654715,42,3121227.5
1701893655.232758,45,3114116.5
1701893704.092691,71,3093766.75
1701893746.732785,94,3091409.25
1701893886.088541,167,3080692.0
1701894008.358851,229,3060773.0
1701894017.609439,234,3059645.75
1701894056.439647,255,3057936.5
1701894089.959209,273,3053423.5
1701894158.527704,308,3048800.0
1701894162.26577,310,3048548.5
1701894177.296684,318,3048510.75
1701894470.021515,474,3030134.25
1701894588.626273,536,3015071.75
1701894667.877842,579,3000836.5
1701894680.823847,586,2998863.25
1701894773.115508,634,2978313.5
1701894797.013568,647,2972828.0
1701894924.878068,714,2937987.5
1701894939.669515,722,2934158.25
1701895090.943982,802,2881090.0
1701895101.958128,808,2876393.0
1701895153.835841,836,2853590.5
1701895406.551296,971,2720878.25
1701895489.724337,1014,2667850.0
1701895585.385008,1066,2597256.0
1701895659.112648,1104,2541032.0
1701895798.53025,1180,2420336.5
1701895972.742047,1261,2285566.5
1701896077.215674,1316,2196722.0
1701896082.724349,1319,2192038.75
1701896108.449671,1333,2170361.75
1701896115.81137,1337,2164201.25
1701896204.374748,1385,2093531.625
1701896217.291973,1392,2083609.375
1701896302.229049,1436,2023626.0
1701896357.541142,1466,1984782.625
1701896520.439071,1552,1882073.75
1701896579.315516,1584,1846490.25
1701896779.814865,1691,1737369.375
1701896864.349538,1734,1697390.375
1701896869.926316,1737,1694675.75
1701897070.790866,1844,1603315.75
1701897131.520013,1877,1577311.125
1701897209.524661,1917,1547088.75
1701897264.845267,1947,1525023.875
1701897433.087179,2036,1463640.875
1701897544.095481,2096,1425268.125
1701897738.187912,2199,1364177.625
1701897801.121101,2231,1346379.625
1701897858.150066,2262,1329595.875
1701897945.210748,2307,1305999.375
1701898097.325849,2389,1265355.25
1701898187.821594,2436,1243339.25
1701898219.30668,2453,1235552.0
1701898223.00083,2455,1234633.125
1701898232.300387,2460,1232361.625
1701898278.685113,2485,1221168.25
1701898280.525834,2486,1220722.75
1701898302.751381,2498,1215429.125
1701898315.748308,2503,1213235.75
1701898369.735498,2532,1200676.875
1701898656.40409,2685,1139174.375
1701898762.70203,2740,1118749.875
1701899189.087073,2967,1042456.75
1701899324.00757,3038,1020985.125
1701899329.560721,3041,1020122.4375
1701899555.599713,3161,985995.8125
1701899686.157001,3230,967503.25
1701899715.255997,3246,963347.625
1701899717.060482,3247,963079.75
1701899827.667738,3305,948334.375
1701900155.836584,3480,906779.0
1701900418.495822,3618,876729.0625
1701900422.240738,3620,876316.375
1701900514.852249,3670,865987.8125
1701900651.272007,3741,851864.75
1701900790.782312,3814,837938.0
1701900803.815957,3821,836642.3125
1701901006.05448,3928,817244.4375
1701901058.009621,3956,812326.3125
1701901210.613928,4036,798637.625
1701901325.397776,4098,788411.6875
1701901511.194225,4196,772811.4375
1701901582.011634,4232,767329.25
1701901743.805697,4317,754646.3125
1701901901.91629,4400,742678.8125
1701902073.270429,4492,729974.5625
1701902108.786795,4509,727635.1875
1701902402.251506,4664,707578.125
1701902409.695915,4668,707082.1875
1701902424.573995,4676,706088.3125
1701902636.099388,4788,692461.8125
1701902666.139133,4802,690797.5625
1701902737.070497,4840,686321.5
1701902837.608865,4894,680160.4375
1701902985.055086,4971,671601.8125
1701903140.367054,5052,662856.25
1701903244.44392,5106,657169.8125
1701903296.754329,5134,654278.75
1701903698.82543,5345,633462.25
1701903725.046592,5359,632135.0
1701903843.064697,5420,626447.25
1701904087.602369,5549,614864.6875
1701904334.667058,5679,603624.8125
1701904420.903063,5723,599960.0625
1701904583.788595,5808,592971.125
1701904688.381732,5864,588517.75
1701904701.46469,5871,587963.4375
1701904772.448006,5907,585119.875
1701904927.746629,5990,578809.4375
1701905198.649324,6131,568395.25
1701905331.967964,6200,563427.4375
1701905367.632324,6219,562078.6875
1701905498.68068,6289,557183.5
1701905544.890906,6312,555622.625
1701905665.046627,6376,551321.0625
1701905948.871973,6520,541899.8125
1701906049.910867,6574,538476.6875
1701906107.589217,6603,536661.1875
1701906282.157897,6696,530930.625
1701906287.813421,6699,530747.1875
1701906313.627675,6711,530040.125
1701906585.736397,6854,521567.59375
1701906798.506867,6966,515205.28125
1701907082.784956,7114,507148.53125
1701907158.195721,7155,504995.125
1701907452.394736,7311,496904.03125
1701907582.018393,7382,493380.40625
1701907709.7654,7450,490023.84375
1701907727.997717,7460,489525.59375
1701907733.442588,7463,489381.25
1701907760.777306,7478,488648.96875
1701907825.030746,7511,487058.5
1701908160.358108,7693,478556.09375
1701908336.551578,7788,474267.09375
1701908354.923681,7798,473829.78125
1701908422.444986,7833,472285.8125
1701908712.664371,7991,465461.5
1701908851.743077,8066,462298.8125
1701909060.726978,8180,457621.4375
1701909138.673606,8221,455973.25
1701909396.082166,8363,450403.71875
1701909405.028287,8368,450209.625
1701909421.183225,8377,449866.1875
1701909591.145129,8470,446342.5625
1701909641.399847,8498,445287.78125
1701909662.662087,8508,444919.5
1701909832.821636,8601,441440.625
1701909893.926728,8635,440214.9375
1701910337.676107,8878,431642.0625
1701910393.317518,8907,430649.34375
1701910430.672169,8928,429934.375
1701910443.188239,8935,429701.375
1701910546.571926,8993,427751.4375
1701911031.984073,9260,419061.28125
1701911135.124593,9316,417270.46875
1701911191.837931,9348,416264.75
1701911350.215116,9435,413580.375
1701911408.306406,9468,412578.6875
1701911565.369335,9554,409977.28125
1701911588.544908,9567,409600.84375
1701911752.908732,9657,406953.5
1701911794.256202,9680,406302.78125
1701911826.42328,9698,405806.53125
1701912092.588052,9843,401696.0625
1701912210.914037,9907,399917.8125
1701912485.237199,10058,395853.65625
1701912531.585202,10084,395150.28125
1701912881.807736,10276,390094.375
1701912894.221118,10283,389916.75
1701913103.683416,10399,386961.34375
1701913248.858065,10479,384981.75
1701913328.470668,10522,383931.75
1701913481.910557,10607,381887.09375
1701913536.42635,10638,381144.34375
1701913564.614826,10654,380759.3125
1701913668.827755,10711,379406.28125
1701913750.178026,10757,378342.15625
1701913751.936264,10758,378318.09375
1701913790.990432,10780,377811.5625
1701913902.293986,10841,376389.25
1701913918.136051,10850,376174.5625
1701914013.74738,10902,374979.125
1701914019.175779,10905,374911.09375
1701914086.280682,10943,374050.21875
1701914127.081511,10966,373541.125
1701914141.236993,10974,373353.375
1701914226.009081,11020,372320.78125
1701914374.564041,11102,370506.96875
1701914408.122438,11121,370076.625
1701914544.025149,11198,368412.84375
1701914656.557215,11260,367071.34375
1701914945.883139,11419,363744.71875
1701915040.025672,11472,362661.84375
1701915075.450222,11492,362248.28125
1701915133.64581,11523,361618.46875
1701915149.527418,11532,361433.8125
1701915209.55728,11566,360750.875
1701915358.012058,11648,359121.65625
1701915423.267511,11685,358396.9375
1701915557.953712,11759,356923.34375
1701915762.926725,11873,354694.125
1701915935.286628,11969,352890.6875
1701915944.128009,11974,352803.5
1701916011.370238,12010,352120.09375
1701916066.038673,12041,351547.625
1701916240.793722,12138,349745.0
1701916286.712459,12164,349261.46875
1701916322.120867,12184,348897.875
1701916513.250347,12290,346995.78125
1701916723.40307,12405,344969.125
1701916816.991834,12458,344069.3125
1701917200.740612,12671,340364.59375
1701917572.764204,12877,336963.65625
1701917685.730837,12939,335939.90625
1701917828.631184,13017,334688.09375
1701917859.815489,13034,334422.28125
1701917908.27357,13061,333979.03125
1701917946.497715,13082,333655.5
1701917968.211086,13094,333472.78125
1701917998.809833,13109,333234.15625
1701918240.405574,13239,331226.09375
1701918543.839055,13402,328737.9375
1701918551.043279,13406,328675.8125
1701918733.596142,13504,327228.125
1701918809.755799,13546,326619.375
1701918902.228205,13597,325858.15625
1701918947.642785,13620,325509.0
1701919054.276301,13679,324653.46875
1701919299.125182,13810,322765.9375
1701919433.473017,13884,321724.09375
1701919798.85284,14080,319010.90625
1701920063.882393,14221,317135.0
1701920183.78659,14287,316253.15625
1701920196.562581,14294,316160.0625
1701920247.463712,14320,315821.6875
1701920280.272199,14338,315572.53125
1701920386.989919,14397,314807.09375
1701920481.310621,14447,314153.34375
1701920823.151541,14632,311776.34375
1701920833.908445,14638,311702.875
1701920887.860249,14668,311317.4375
1701920904.018897,14677,311202.03125
1701920922.030694,14687,311075.5625
1701921091.653672,14779,309946.03125
1701921107.741813,14788,309830.3125
1701921148.794843,14809,309570.875
1701921261.364819,14873,308782.34375
1701921295.270214,14892,308559.6875
1701921659.229915,15090,306172.90625
1701921821.675656,15180,305098.71875
1701921982.330782,15266,304092.28125
1701922090.651655,15324,303427.28125
1701922362.871337,15473,301732.3125
1701922366.470873,15475,301713.84375
1701922431.401675,15507,301370.71875
1701922487.456407,15538,301006.5625
1701922857.539513,15740,298781.03125
1701922900.48051,15764,298516.59375
1701922916.578901,15773,298421.03125
1701923018.709649,15828,297831.75
1701923318.39387,15993,296067.3125
1701923505.463466,16095,294991.75
1701923548.681495,16116,294782.34375
1701923792.614812,16249,293419.40625
1701923924.774399,16321,292687.875
1701923965.992922,16343,292464.71875
1701923996.415476,16360,292295.78125
1701924082.944044,16406,291826.40625
1701924264.446802,16505,290831.15625
1701924612.443071,16697,288942.53125
1701924821.574711,16808,287860.4375
1701924823.374969,16809,287851.78125
1701924910.516941,16857,287401.59375
1701924984.954887,16899,286997.46875
1701925290.229821,17066,285426.6875
1701925345.747842,17097,285152.1875
1701925410.349186,17131,284821.9375
1701925607.536611,17239,283851.0
1701925666.371038,17272,283541.6875
1701925702.248231,17292,283355.09375
1701925750.525142,17317,283136.03125
1701925789.82417,17339,282952.5
1701925911.482038,17405,282357.46875
1701925981.15882,17444,282017.1875
1701925998.897382,17454,281927.78125
1701926162.214932,17543,281138.71875
1701926187.192315,17557,281014.6875
1701926239.401929,17586,280766.875
1701926253.752322,17594,280699.6875
1701926309.129091,17623,280446.1875
1701926489.871715,17722,279589.90625
1701926911.172694,17953,277647.65625
1701926961.33505,17981,277409.65625
1701927030.843827,18018,277103.4375
1701927092.464463,18053,276819.25
1701927113.569287,18065,276726.09375
1701927229.471397,18129,276180.875
1701927470.05539,18264,275068.5625
1701927568.134276,18318,274635.5625
1701927803.528026,18451,273535.25
1701927805.292601,18452,273526.09375
1701928053.800704,18592,272423.125
1701928274.145797,18713,271466.96875
1701928286.910867,18720,271409.0625
1701928515.515849,18845,270453.4375
1701928722.34124,18958,269604.34375
1701928810.42224,19005,269240.375
1701928887.846781,19048,268916.46875
1701929013.981681,19116,268395.09375
1701929109.114948,19169,268007.75
1701929296.78915,19271,267250.65625
1701929765.662308,19525,265382.1875
1701929776.385032,19531,265339.0
1701929976.221441,19640,264552.5
1701930001.310803,19654,264445.5625
1701930143.409265,19731,263917.125
1701930154.182752,19737,263881.0
1701930312.900817,19823,263292.875
1701930354.12894,19846,263134.875
1701930483.092028,19916,262649.46875
1701930522.595149,19938,262494.03125
1701930581.92367,19971,262269.625
1701930624.97675,19995,262104.796875
1701930700.376903,20035,261838.625
1701930732.548915,20053,261711.5625
1701930743.234555,20059,261667.90625
1701930748.602875,20062,261646.515625
1701930888.255712,20138,261135.25
1701930890.036605,20139,261129.0
1701930973.77475,20186,260808.265625
1701931032.746496,20217,260593.515625
1701931080.808,20244,260407.328125
1701931086.24291,20247,260386.609375
1701931095.114561,20252,260355.734375
1701931226.751544,20323,259882.296875
1701931334.359392,20383,259492.71875
1701931440.465337,20440,259112.859375
1701931521.364409,20485,258816.53125
1701931598.873755,20526,258548.25
1701931622.062832,20539,258465.328125
1701931623.839961,20540,258458.703125
1701931663.215944,20562,258312.921875
1701931692.073312,20578,258213.71875
1701931936.00012,20710,257388.828125
1701932059.989222,20779,256976.296875
1701932065.361198,20782,256956.375
1701932067.181049,20783,256948.8125
1701932156.752902,20831,256654.1875
1701932199.704252,20855,256510.15625
1701932439.986797,20987,255710.546875
1701932610.236746,21080,255143.0
1701932728.854538,21144,254759.234375
1701932850.07881,21209,254373.984375
1701932891.80379,21232,254227.203125
1701933046.891065,21316,253719.8125
1701933052.33278,21319,253703.390625
1701933061.402125,21324,253676.46875
1701933182.36208,21391,253295.65625
1701933218.709256,21409,253192.15625
1701933354.076387,21484,252744.140625
1701933428.292411,21523,252523.25
1701933716.275432,21681,251600.578125
1701933798.17421,21724,251355.984375
1701933925.874451,21795,250950.96875
1701933976.119986,21821,250804.21875
1701934013.854651,21842,250683.921875
1701934024.628297,21848,250647.625
1701934315.21818,22006,249749.484375
1701934751.929569,22245,248430.9375
1701934836.21103,22292,248181.921875
1701934907.697858,22330,247978.03125
1701934957.841881,22358,247821.390625
1701935165.810839,22472,247201.65625
1701935232.195257,22507,247007.515625
1701935298.594616,22544,246815.34375
1701935465.382093,22635,246336.28125
1701935701.950312,22765,245639.859375
1701935840.257696,22840,245241.234375
1701936005.676676,22930,244781.328125
1701936011.070076,22933,244765.671875
1701936287.770574,23084,243998.28125
1701936388.484725,23138,243719.515625
1701936406.47458,23148,243668.125
1701936467.637064,23182,243501.546875
1701936485.607553,23192,243447.3125
1701936536.459642,23218,243317.09375
1701936617.186708,23263,243087.984375
1701936658.437643,23286,242973.734375
1701936796.964094,23361,242595.71875
1701936831.16155,23380,242502.515625
1701936919.106317,23427,242274.875
1701937125.507928,23540,241708.0625
1701937213.360616,23589,241463.796875
1701937362.779477,23670,241068.078125
1701937382.515387,23681,241010.4375
1701937421.853179,23701,240911.984375
1701937552.528771,23774,240558.140625
1701937854.007206,23938,239762.359375
1701938110.028923,24079,239068.6875
1701938183.45156,24118,238880.53125
1701938235.265195,24147,238740.3125
1701938395.316857,24234,238331.9375
1701938481.576004,24282,238117.28125
1701938485.167974,24284,238109.65625
1701938557.091695,24322,237936.75
1701938598.322844,24345,237829.1875
1701938729.424231,24416,237498.96875
1701938986.336948,24557,236872.15625
1701939104.70227,24621,236575.671875
1701939283.914466,24719,236144.65625
1701939298.214393,24727,236109.1875
1701939617.074724,24901,235335.28125
1701939676.361175,24934,235182.921875
1701939812.747911,25008,234854.640625
1701939883.289434,25047,234674.6875
1701940040.965498,25133,234294.859375
1701940221.74401,25231,233878.703125
1701940244.975867,25244,233821.046875
1701940261.129387,25253,233781.5625
1701940406.515234,25332,233438.03125
1701940513.02342,25391,233185.171875
1701940724.859018,25505,232695.234375
1701940751.977817,25520,232634.65625
1701940893.961367,25599,232303.65625
1701941054.135923,25686,231942.296875
1701941288.138557,25812,231428.140625
1701941351.079255,25847,231292.421875
1701941487.739544,25921,230980.9375
1701941714.48774,26045,230478.046875
1701941752.069603,26066,230392.5
1701941797.031837,26091,230291.15625
1701941915.638086,26155,230042.046875
1701941940.75051,26169,229983.84375
1701942165.588588,26292,229498.0
1701942189.282803,26303,229456.09375
1701942372.630743,26403,229060.84375
1701942493.266584,26470,228796.5
1701942859.990815,26670,228020.453125
1701943091.719507,26797,227523.125
1701943093.577247,26798,227519.34375
1701943149.583601,26827,227406.609375
1701943153.169487,26829,227397.53125
1701943335.005234,26928,227009.359375
1701943726.396293,27142,226204.390625
1701943737.162112,27148,226180.703125
1701943747.938094,27154,226161.40625
1701943755.064324,27158,226147.8125
1701943756.854357,27159,226144.71875
1701943967.66784,27274,225726.828125
1701944394.098005,27505,224888.734375
1701944574.803073,27603,224550.765625
1701944592.738833,27613,224515.703125
1701944605.488566,27620,224491.15625
1701944637.882456,27638,224427.59375
1701944823.151301,27739,224079.359375
1701944981.172106,27825,223774.03125
1701945148.17469,27916,223447.828125
1701945151.74701,27918,223440.734375
1701945209.320653,27950,223326.921875
1701945241.388259,27968,223265.734375
1701945760.372768,28251,222305.4375
1701945806.870958,28277,222217.09375
1701945889.256376,28321,222063.40625
1701946103.43248,28438,221665.96875
1701946126.680759,28451,221620.109375
1701946296.608647,28543,221320.828125
1701946348.443371,28572,221221.640625
1701946422.090151,28611,221090.609375
1701947077.717774,28970,219932.609375
1701947124.281237,28996,219850.859375
1701947167.438153,29018,219784.0625
1701947201.575728,29037,219723.796875
1701947246.355252,29062,219648.28125
1701947275.184254,29078,219599.890625
1701947296.849958,29090,219560.4375
1701947503.275621,29201,219213.203125
1701947614.775914,29263,219015.78125
1701947996.626351,29471,218374.78125
1701948009.140777,29478,218354.25
1701948025.330046,29487,218325.078125
1701948118.794505,29537,218174.0
1701948124.171239,29540,218166.84375
1701948161.890044,29561,218098.453125
1701948217.831868,29592,217999.828125
1701948255.822702,29611,217942.921875
1701948504.611808,29747,217531.734375
1701948656.540641,29828,217282.375
1701948658.329385,29829,217279.34375
1701948975.66592,30000,216764.5625
