Wall time,Step,Value
1701893649.655777,42,3180365.5
1701893655.233954,45,2898447.25
1701893704.093678,71,2986778.0
1701893746.733761,94,3405346.5
1701893886.08948,167,2829882.75
1701894008.359763,229,2856522.5
1701894017.610381,234,2865600.75
1701894056.440591,255,3079339.0
1701894089.960114,273,3213278.25
1701894158.528628,308,2769882.5
1701894162.266685,310,3029862.75
1701894177.297611,318,2846858.25
1701894470.022443,474,3019689.25
1701894588.62726,536,2992274.75
1701894667.878756,579,2789828.0
1701894680.82475,586,2813728.0
1701894773.116598,634,2678238.25
1701894797.014481,647,2859115.0
1701894924.878974,714,2610796.5
1701894939.670428,722,2507634.0
1701895090.944955,802,2193815.0
1701895101.959052,808,2230000.0
1701895153.836879,836,2186254.0
1701895406.552204,971,1750233.625
1701895489.725428,1014,1343806.25
1701895585.38594,1066,1020519.625
1701895659.113794,1104,785811.875
1701895798.531217,1180,432700.0
1701895972.742965,1261,195985.796875
1701896077.216624,1316,143754.125
1701896082.725348,1319,126048.546875
1701896108.45064,1333,147911.9375
1701896115.812337,1337,125504.6484375
1701896204.376255,1385,103403.0703125
1701896217.292929,1392,96424.921875
1701896302.230014,1436,93256.578125
1701896357.542123,1466,91988.34375
1701896520.44,1552,160271.859375
1701896579.316514,1584,130824.1171875
1701896779.815814,1691,103654.71875
1701896864.351083,1734,141180.609375
1701896869.927304,1737,124377.296875
1701897070.791813,1844,111328.78125
1701897131.521057,1877,126876.8828125
1701897209.52562,1917,156647.625
1701897264.846213,1947,134037.28125
1701897433.088209,2036,118280.453125
1701897544.09643,2096,98198.390625
1701897738.188861,2199,136679.640625
1701897801.122056,2231,138692.421875
1701897858.151154,2262,136761.40625
1701897945.211713,2307,155926.71875
1701898097.326775,2389,143768.140625
1701898187.822551,2436,172104.75
1701898219.307723,2453,81933.8671875
1701898223.001729,2455,124744.328125
1701898232.301664,2460,111353.640625
1701898278.686044,2485,137792.90625
1701898280.526742,2486,113187.21875
1701898302.752282,2498,118202.625
1701898315.749358,2503,87964.703125
1701898369.736459,2532,113188.8984375
1701898656.405047,2685,131954.75
1701898762.703053,2740,136538.953125
1701899189.087951,2967,82199.125
1701899324.008502,3038,121213.625
1701899329.561653,3041,174184.3125
1701899555.60068,3161,124346.1875
1701899686.157913,3230,102034.546875
1701899715.257075,3246,144341.25
1701899717.061397,3247,93267.28125
1701899827.668713,3305,149780.65625
1701900155.837493,3480,116034.1484375
1701900418.496751,3618,106847.5859375
1701900422.241697,3620,139187.8125
1701900514.853232,3670,97208.2890625
1701900651.272964,3741,96482.390625
1701900790.783439,3814,113664.953125
1701900803.816934,3821,158109.96875
1701901006.055396,3928,146335.78125
1701901058.010506,3956,130437.9921875
1701901210.614873,4036,114127.765625
1701901325.398709,4098,152616.703125
1701901511.195172,4196,157096.375
1701901582.012617,4232,121912.28125
1701901743.806651,4317,140061.0
1701901901.917085,4400,154957.796875
1701902073.271355,4492,124348.4375
1701902108.787777,4509,80857.9375
1701902402.252581,4664,92035.78125
1701902409.696918,4668,123775.765625
1701902424.574942,4676,119232.078125
1701902636.100375,4788,125617.1796875
1701902666.140072,4802,97911.25
1701902737.07143,4840,117876.8671875
1701902837.609747,4894,122389.109375
1701902985.056033,4971,141267.90625
1701903140.36804,5052,115106.3671875
1701903244.444836,5106,134807.71875
1701903296.755372,5134,77145.265625
1701903698.826363,5345,96601.6484375
1701903725.047481,5359,132392.15625
1701903843.065765,5420,128066.4921875
1701904087.603292,5549,161379.46875
1701904334.667969,5679,122279.7578125
1701904420.904022,5723,152273.03125
1701904583.789651,5808,134225.046875
1701904688.382652,5864,133728.4375
1701904701.465649,5871,137355.8125
1701904772.449094,5907,147241.546875
1701904927.747571,5990,153452.71875
1701905198.650346,6131,106604.015625
1701905331.968846,6200,99351.6328125
1701905367.633245,6219,108076.0859375
1701905498.68166,6289,130933.1484375
1701905544.891829,6312,180876.453125
1701905665.04755,6376,145339.53125
1701905948.872986,6520,123130.21875
1701906049.911854,6574,147917.5
1701906107.590132,6603,146807.21875
1701906282.158828,6696,109934.0390625
1701906287.814366,6699,149372.84375
1701906313.628719,6711,138538.890625
1701906585.737409,6854,115860.9375
1701906798.507772,6966,113267.234375
1701907082.785873,7114,129825.484375
1701907158.196684,7155,132874.0
1701907452.395765,7311,150189.84375
1701907582.0193,7382,124616.328125
1701907709.7664,7450,174528.578125
1701907727.998714,7460,98924.8125
1701907733.443503,7463,119321.234375
1701907760.778334,7478,113056.21875
1701907825.031667,7511,126416.328125
1701908160.359036,7693,121510.5859375
1701908336.55248,7788,112706.140625
1701908354.92464,7798,132916.390625
1701908422.445889,7833,132068.34375
1701908712.665372,7991,129398.21875
1701908851.744048,8066,116098.2578125
1701909060.728107,8180,100574.8359375
1701909138.674543,8221,140953.390625
1701909396.083089,8363,122460.75
1701909405.029253,8368,130447.359375
1701909421.184131,8377,161668.8125
1701909591.146083,8470,120131.453125
1701909641.400859,8498,128090.1640625
1701909662.663007,8508,114363.0234375
1701909832.822588,8601,139537.234375
1701909893.927646,8635,89915.3125
1701910337.67709,8878,133809.6875
1701910393.318458,8907,131576.875
1701910430.673094,8928,137762.6875
1701910443.189312,8935,125640.6796875
1701910546.572877,8993,131869.9375
1701911031.984985,9260,175830.375
1701911135.125544,9316,111359.125
1701911191.838896,9348,145496.28125
1701911350.21611,9435,146357.40625
1701911408.307418,9468,87099.2734375
1701911565.37038,9554,135703.34375
1701911588.545893,9567,171791.609375
1701911752.909705,9657,117984.2109375
1701911794.257134,9680,132060.9375
1701911826.424215,9698,157904.4375
1701912092.58906,9843,114126.84375
1701912210.914971,9907,89412.296875
1701912485.238167,10058,108517.6015625
1701912531.586144,10084,136499.6875
1701912881.808682,10276,136847.828125
1701912894.222061,10283,142089.15625
1701913103.684373,10399,124056.28125
1701913248.859013,10479,161059.9375
1701913328.471698,10522,131789.25
1701913481.911621,10607,144120.703125
1701913536.427343,10638,120059.609375
1701913564.615738,10654,130693.828125
1701913668.828767,10711,98322.265625
1701913750.178941,10757,130175.09375
1701913751.937229,10758,119439.46875
1701913790.99151,10780,130615.109375
1701913902.295,10841,118787.578125
1701913918.137128,10850,100153.484375
1701914013.748393,10902,125514.3046875
1701914019.176771,10905,156264.4375
1701914086.281647,10943,101364.1796875
1701914127.082548,10966,130989.390625
1701914141.237949,10974,111434.265625
1701914226.010133,11020,87478.796875
1701914374.565017,11102,128625.546875
1701914408.123452,11121,85483.28125
1701914544.026129,11198,142311.796875
1701914656.558137,11260,146113.515625
1701914945.884106,11419,158339.53125
1701915040.026609,11472,80033.40625
1701915075.451164,11492,104679.90625
1701915133.646787,11523,137839.390625
1701915149.528346,11532,126475.015625
1701915209.558328,11566,120721.6171875
1701915358.012962,11648,112250.90625
1701915423.268439,11685,128365.796875
1701915557.954664,11759,131355.875
1701915762.92772,11873,107267.25
1701915935.287605,11969,105988.546875
1701915944.128956,11974,156208.875
1701916011.371148,12010,118334.0703125
1701916066.039679,12041,123486.5234375
1701916240.794666,12138,121856.09375
1701916286.71339,12164,111726.4921875
1701916322.121822,12184,139052.6875
1701916513.251278,12290,115424.15625
1701916723.404076,12405,132124.8125
1701916816.992827,12458,133280.125
1701917200.74154,12671,147344.484375
1701917572.765204,12877,136987.59375
