Wall time,Step,Value
1701179033.397833,42,0.5
1701179037.882526,45,0.4921875
1701179076.772336,71,0.4609375
1701179111.609783,94,0.5390625
1701179210.7659,158,0.578125
1701179224.217285,167,0.4921875
1701179320.342251,229,0.4921875
1701179327.945755,234,0.4921875
1701179359.612246,255,0.7109375
1701179386.495664,273,0.515625
1701179441.602304,308,0.6328125
1701179444.626031,310,0.671875
1701179456.683862,318,0.703125
1701179614.718299,421,0.6015625
1701179673.223984,460,0.6796875
1701179694.159199,474,0.7578125
1701179790.90858,536,0.6796875
1701179831.382668,563,0.703125
1701179855.355019,579,0.65625
1701179865.858012,586,0.6875
1701179940.850162,634,0.671875
1701179960.352856,647,0.7421875
1701179981.34153,661,0.6484375
1701179996.308745,671,0.75
1701180063.559647,714,0.7265625
1701180075.542447,722,0.671875
1701180149.144881,771,0.6953125
1701180170.12451,785,0.78125
1701180173.107632,787,0.7578125
1701180198.514915,802,0.734375
1701180207.496708,808,0.8203125
1701180249.822266,836,0.75
1701180416.863245,945,0.8203125
1701180455.922546,971,0.7890625
1701180457.426285,972,0.7578125
1701180509.851087,1005,0.8359375
1701180523.405914,1014,0.7890625
1701180596.983792,1063,0.828125
1701180601.507315,1066,0.8359375
1701180642.157149,1093,0.8203125
1701180661.564393,1104,0.8828125
1701180775.991276,1180,0.84375
1701180901.374804,1261,0.8671875
1701180986.921643,1316,0.8515625
1701180991.465869,1319,0.8515625
1701181012.578714,1333,0.9140625
1701181018.606754,1337,0.828125
1701181091.024011,1385,0.859375
1701181101.496882,1392,0.8515625
1701181137.491924,1414,0.828125
1701181156.850198,1426,0.8359375
1701181171.827484,1436,0.8828125
1701181217.062238,1466,0.8828125
1701181254.515995,1491,0.875
1701181305.639743,1523,0.7890625
1701181349.490029,1552,0.8203125
1701181373.529259,1568,0.8828125
1701181397.582654,1584,0.828125
1701181432.067096,1605,0.859375
1701181484.910871,1640,0.8671875
1701181561.514372,1691,0.859375
1701181591.419541,1709,0.84375
1701181605.008973,1718,0.890625
1701181626.144071,1732,0.875
1701181629.146261,1734,0.8125
1701181633.632097,1737,0.828125
1701181700.20378,1781,0.859375
1701181798.346409,1844,0.828125
1701181811.872476,1853,0.8515625
1701181831.404519,1866,0.8203125
